Metric,Value
route__wirelength__iter:14,742145
route__drc_errors__iter:15,7
route__wirelength__iter:15,742157
route__drc_errors__iter:16,2
route__wirelength__iter:16,742145
route__drc_errors__iter:17,2
route__wirelength__iter:17,742145
route__drc_errors__iter:18,2
route__wirelength__iter:18,742145
route__drc_errors__iter:19,2
route__wirelength__iter:19,742145
route__drc_errors__iter:20,2
route__wirelength__iter:20,742145
route__drc_errors__iter:21,2
route__wirelength__iter:21,742145
route__drc_errors__iter:22,2
route__wirelength__iter:22,742145
route__drc_errors__iter:23,2
route__wirelength__iter:23,742145
route__drc_errors__iter:24,2
route__wirelength__iter:24,742145
route__drc_errors__iter:25,2
route__wirelength__iter:25,742145
route__drc_errors__iter:26,2
route__wirelength__iter:26,742145
route__drc_errors__iter:27,2
route__wirelength__iter:27,742145
route__drc_errors__iter:28,2
route__wirelength__iter:28,742145
route__drc_errors__iter:29,2
route__wirelength__iter:29,742145
route__drc_errors__iter:30,2
route__wirelength__iter:30,742145
route__drc_errors__iter:31,2
route__wirelength__iter:31,742145
route__drc_errors__iter:32,2
route__wirelength__iter:32,742145
route__drc_errors__iter:33,2
route__wirelength__iter:33,742145
route__drc_errors__iter:34,2
route__wirelength__iter:34,742145
route__drc_errors__iter:35,1
route__wirelength__iter:35,742162
route__drc_errors__iter:36,1
route__wirelength__iter:36,742162
route__drc_errors__iter:37,0
route__wirelength__iter:37,742159
route__drc_errors,0
route__wirelength,742159
route__vias,93040
route__vias__singlecut,93040
route__vias__multicut,0
design__disconnected_pin__count,238
design__critical_disconnected_pin__count,0
route__wirelength__max,5808.52
timing__unannotated_net__count__corner:nom_tt_025C_1v80,728
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,728
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,728
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,75
design__max_fanout_violation__count__corner:min_tt_025C_1v80,1007
design__max_cap_violation__count__corner:min_tt_025C_1v80,6
clock__skew__worst_hold__corner:min_tt_025C_1v80,-2.4294593691113073
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.5894986887710597
timing__hold__ws__corner:min_tt_025C_1v80,0.5071894159327445
timing__setup__ws__corner:min_tt_025C_1v80,23.439583382136888
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.902119
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,728
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,218
design__max_fanout_violation__count__corner:min_ss_100C_1v60,1007
design__max_cap_violation__count__corner:min_ss_100C_1v60,17
clock__skew__worst_hold__corner:min_ss_100C_1v60,-2.675250319216884
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.8473550989602872
timing__hold__ws__corner:min_ss_100C_1v60,1.0802550271177533
timing__setup__ws__corner:min_ss_100C_1v60,22.99418676105635
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,2.066162
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,27.093941
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,728
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,7
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,1007
design__max_cap_violation__count__corner:min_ff_n40C_1v95,1
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-2.3157694195498513
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.4758087392096033
timing__hold__ws__corner:min_ff_n40C_1v95,0.3003464229001713
timing__setup__ws__corner:min_ff_n40C_1v95,23.352993089194545
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.509503
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,728
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,154
design__max_fanout_violation__count__corner:max_tt_025C_1v80,1007
design__max_cap_violation__count__corner:max_tt_025C_1v80,9
clock__skew__worst_hold__corner:max_tt_025C_1v80,-2.4741196458521677
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.6341976012742696
timing__hold__ws__corner:max_tt_025C_1v80,0.3293587718002012
timing__setup__ws__corner:max_tt_025C_1v80,23.441043547500172
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.920276
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,728
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,336
design__max_fanout_violation__count__corner:max_ss_100C_1v60,1007
design__max_cap_violation__count__corner:max_ss_100C_1v60,31
clock__skew__worst_hold__corner:max_ss_100C_1v60,-2.758313211465629
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.9183911668877306
timing__hold__ws__corner:max_ss_100C_1v60,0.8359997375432695
timing__setup__ws__corner:max_ss_100C_1v60,22.80482356390705
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,2.096931
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,23.323086
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,728
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,58
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,1007
design__max_cap_violation__count__corner:max_ff_n40C_1v95,2
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-2.3531999237498806
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.5104539158066786
timing__hold__ws__corner:max_ff_n40C_1v95,0.1619016078139275
timing__setup__ws__corner:max_ff_n40C_1v95,23.380977815633916
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.515666
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,728
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,728
